trial,plan iters,plan time,best cost
0,1760,1.2746245861053467,1.9294150205817837
0,2390,1.7640128135681152,1.6882426165075415
0,5140,4.181398153305054,1.6113040403677463
0,7790,6.9800920486450195,1.4360134120553307
0,9200,8.20333480834961,1.317531284810274
0,30900,30,1.317531284810274
1,2150,1.5176339149475098,2.0329447588741023
1,3840,2.8492982387542725,1.802783414917577
1,12370,10.904629945755005,1.4177230680560202
1,19970,17.80281686782837,1.377893309977693
1,20440,18.28206729888916,1.3530510184937738
1,31900,30,1.3530510184937738
2,1020,0.7450447082519531,1.369469236519313
2,1650,1.2734029293060303,1.3560132962358649
2,1920,1.4986047744750977,1.3400874737064508
2,30910,30,1.3400874737064508
3,2170,1.57844877243042,1.718267745660619
3,6230,5.175468444824219,1.656503122689447
3,8000,6.896908283233643,1.6525664510107014
3,10200,8.988075971603394,1.6066187358680408
3,10360,9.576640129089355,1.5465304033200602
3,10420,9.648643255233765,1.435745289476809
3,12690,12.403180122375488,1.3839646683950793
3,20970,20.047119617462158,1.3035690544625402
3,22500,22.440547943115234,1.271357590652348
3,30490,30,1.271357590652348
4,1170,0.8412070274353027,2.1210924097865704
4,1340,0.9794764518737793,1.806986795279937
4,3350,2.602041006088257,1.5500554595747125
4,8910,8.070540189743042,1.3808476705279085
4,15690,14.344733715057373,1.355936637470933
4,31610,30,1.355936637470933
5,2040,1.4988899230957031,1.749765527746247
5,2300,1.8156473636627197,1.5493627118967115
5,5520,4.660509347915649,1.4030887927838442
5,6520,5.538818359375,1.4029315370983282
5,32610,30,1.4029315370983282
6,1440,1.0554535388946533,1.5852375218882784
6,2930,2.2982094287872314,1.5779591602494876
6,9740,8.17032766342163,1.5074264844430287
6,13220,11.717091083526611,1.4512437344445164
6,17560,16.381696701049805,1.425559197437499
6,17860,17.37156581878662,1.316081690810927
6,26600,26.083415508270264,1.1518373222825062
6,30430,30,1.1518373222825062
7,850,0.623826265335083,1.5238389262664316
7,4240,3.51674747467041,1.2939239771402402
7,5860,4.9484312534332275,1.2685490753337705
7,13040,12.080644369125366,1.2339985141303595
7,30350,30,1.2339985141303595
8,1140,0.8122093677520752,1.7037337024631385
8,1530,1.103105068206787,1.6831596080610032
8,13540,11.301262378692627,1.681166276376706
8,18420,15.683908462524414,1.5811338800933399
8,19540,17.052844762802124,1.580758097136913
8,21560,19.851938009262085,1.36423011160215
8,25090,23.006645441055298,1.2894799975994624
8,28790,27.626630783081055,1.1462264529755457
8,31160,30,1.1462264529755457
9,4040,2.891209840774536,3.2229688266287995
9,9320,7.111902952194214,2.2794209043066593
9,12540,9.626237869262695,2.032709584981248
9,15230,12.640493392944336,1.5919528866062826
9,19780,16.770790576934814,1.5184349784228972
9,23900,21.505701541900635,1.4470591149631977
9,24780,22.342372179031372,1.4399910875867399
9,32700,30,1.4399910875867399
