trial,plan iters,plan time,best cost
0,3020,1.9273064136505127,1.940623906525438
0,5500,3.495089054107666,1.7316787132829994
0,6190,3.9231603145599365,1.583090777800339
0,8640,5.508204221725464,1.2040461474521704
0,46610,30,1.2040461474521704
1,1420,0.884519100189209,1.7598137914137182
1,12470,7.822707176208496,1.7121515080946883
1,13910,8.71970820426941,1.56117479869994
1,15320,9.596675157546997,1.357422158270691
1,18070,11.321960210800171,1.320765298242633
1,48100,30,1.320765298242633
2,2530,1.5395495891571045,1.9502333518271866
2,4590,2.788621187210083,1.8557187895321026
2,5490,3.3604297637939453,1.1997128985967336
2,47840,30,1.1997128985967336
3,2510,1.5505859851837158,1.669059983722841
3,5370,3.3150782585144043,1.5113944423710806
3,10560,6.515955448150635,1.4703906368769217
3,20460,12.70083475112915,1.3810529353459629
3,45820,28.541365385055542,1.371920901903582
3,48080,30,1.371920901903582
4,1650,1.0360383987426758,1.7127223524709547
4,10750,6.750235080718994,1.5896153294976751
4,21030,13.185620069503784,1.317379374977556
4,27010,16.90768575668335,1.3077175343053316
4,31140,19.473034381866455,1.187324993837519
4,47670,30,1.187324993837519
5,3070,1.9935483932495117,2.4090144091691035
5,4590,2.981766700744629,1.8089870219324549
5,7700,4.991275072097778,1.58174213482412
5,26490,16.898982048034668,1.368595490110034
5,47430,30,1.368595490110034
6,1400,0.8659701347351074,1.7148825562112653
6,6390,3.9877820014953613,1.6667184982975298
6,7580,4.737491607666016,1.5278894947843142
6,19070,11.914019107818604,1.452147753363031
6,22300,13.935848712921143,1.406402997766915
6,44110,27.590431690216064,1.386004449077343
6,47980,30,1.386004449077343
7,1100,0.6775155067443848,1.3755311704825168
7,38360,23.913878679275513,1.3435547896950784
7,47980,30,1.3435547896950784
8,1850,1.189255714416504,2.3559663212888338
8,5130,3.2467944622039795,1.9794560474583678
8,6600,4.173551559448242,1.205375760457937
8,47280,30,1.205375760457937
9,1340,0.8443248271942139,1.6373042053351197
9,20170,12.662031650543213,1.434325547714258
9,41060,25.794661045074463,1.3681411375389338
9,42120,26.469979763031006,1.3236435953024928
9,45000,30,1.3236435953024928
