trial,plan iters,plan time,best cost
0,3660,5.098193883895874,1.5950172569818568
0,8120,11.487369060516357,1.4367875783057307
0,10840,15.362672090530396,1.3600750360115277
0,14570,20.852068185806274,1.3411957679384852
0,17220,24.597461700439453,1.3340486161107095
0,20990,30,1.3340486161107095
1,1100,1.5020320415496826,1.9750642592293226
1,3140,4.313978672027588,1.8956196992123122
1,4760,6.58891487121582,1.1803917064886233
1,19220,30,1.1803917064886233
2,2050,2.799300193786621,1.6679954852810435
2,4110,5.7927892208099365,1.4305499913020567
2,12200,17.93293809890747,1.3877214400660776
2,19050,28.064016342163086,1.2744454285852331
2,20480,30,1.2744454285852331
3,2280,3.149503707885742,2.6500504860842646
3,3260,4.550808906555176,1.9663278175511245
3,4400,6.123398065567017,1.818161897715527
3,5330,7.408914089202881,1.7714298370979784
3,7250,10.045411586761475,1.7478882251633356
3,7910,10.98218297958374,1.3029598801537836
3,16740,24.47946262359619,1.2995141251675608
3,20570,30,1.2995141251675608
4,880,1.1901137828826904,1.4191555437258312
4,10210,15.218215942382812,1.33259315675801
4,12820,18.96121048927307,1.308948332667545
4,19120,28.49352264404297,1.2326558235666483
4,20190,30,1.2326558235666483
5,1590,2.2307984828948975,2.1761130722208923
5,4690,6.677584886550903,1.8184497847096608
5,7420,10.565979719161987,1.560622168604872
5,11690,16.769222497940063,1.4503221454074973
5,15330,22.050721406936646,1.4466617365710641
5,20750,30,1.4466617365710641
6,900,1.1475799083709717,1.6067875315803073
6,2470,3.373136043548584,1.5154465388139893
6,4540,6.33045220375061,1.4792085036111198
6,6400,8.992984294891357,1.4278546691088758
6,7800,10.968476057052612,1.3402791544583055
6,9790,13.780817985534668,1.2395690262677441
6,21230,30,1.2395690262677441
7,1900,1.4424221515655518,1.7676179296125267
7,3190,2.482131242752075,1.4610792824364875
7,9640,7.208660125732422,1.378483989589643
7,19980,14.488058090209961,1.3654150976904467
7,42000,30,1.3654150976904467
8,2690,1.586719036102295,1.5082484957196254
8,4600,2.7799360752105713,1.4404950554216245
8,19230,12.725460290908813,1.432639249846568
8,21630,14.201596021652222,1.4286833630479863
8,27330,17.827772617340088,1.3515441883216897
8,32990,21.424126148223877,1.3139385518278117
8,42420,27.590948581695557,1.2852548540876767
8,44550,28.936893463134766,1.2753503095736527
8,46280,30,1.2753503095736527
9,2040,1.2039809226989746,3.1654227853714776
9,3980,2.3701252937316895,2.0550679710606605
9,6230,3.7474405765533447,1.693323799075074
9,9230,5.619008779525757,1.6631601156391662
9,16440,10.094757318496704,1.6468311554800918
9,19990,12.300848245620728,1.5367849392247497
9,23360,14.373766422271729,1.4871236594440724
9,32120,20.115069150924683,1.4806889339485174
9,33170,20.7424738407135,1.3398708580417455
9,35000,21.880921125411987,1.3288540077638165
9,46600,30,1.3288540077638165
